source_sector,target_sector,input_coefficient,input_value
Crude petroleum,Trade,0.0013507125744345483,290062.0
Natural Gas,Petroleum products,0.039544186044211636,4478222.0
Natural Gas,Coal tar products,0.009373493483081724,32082.0
Natural Gas,Inorganic heavy chemicals,0.008413518261188748,160450.0
Natural Gas,Organic heavy chemicals,0.0046066124926523655,143666.0
Natural Gas,Fertilizers,0.021424533232827128,24102.0
Natural Gas,Pesticides,0.0024565163137610043,8219.0
Natural Gas,"Paints, varnishes and
 lacquers",0.003465293526274496,20971.0
Natural Gas,"Synthetic fibers, resin",0.005750284292393915,53990.0
Natural Gas,Other chemicals,0.010283960200260104,116748.0
Iron ore,"Other non-metallic mineral
 prods.",0.011496076577309809,150854.0
Iron ore,"Iron, steel and ferro alloys",0.16307135277683835,1135065.0
Iron ore,"Iron and steel casting &
 forging",0.0425892802072411,825838.0
Iron ore,Iron and steel foundries,0.0687102010630173,2102666.0
Iron ore,"Non ferrous basic metals
 (including alloys)",0.022775772986851163,591708.0
Iron ore,"Miscellaneous metal
 products",0.015558987279832057,300797.0
Iron ore,"Industrial
 machinery(others)",0.0019652454470359616,10361.0
Iron ore,Machine tools,0.0019190952155024095,7479.0
Iron ore,"Other non-electrical
 machinery",0.0025437150045010165,58950.0
Iron ore,"Medical, precision&optical
 instru.s",0.01018658668519682,49593.0
Iron ore,Trade,0.002854619094555701,613022.0
Manganese ore,"Iron, steel and ferro alloys",0.009732144422086671,67741.0
Manganese ore,"Iron and steel casting &
 forging",0.002776014623056315,53829.0
Manganese ore,Iron and steel foundries,0.0042224436169880425,129215.0
Manganese ore,"Miscellaneous metal
 products",0.0015744838339837432,30439.0
Manganese ore,"Industrial
 machinery(others)",0.0012289185649402563,6479.0
Manganese ore,Machine tools,0.001643252541794014,6404.0
Manganese ore,"Other non-electrical
 machinery",0.0014607267231953928,33852.0
Manganese ore,"Medical, precision&optical
 instru.s",0.0024833309746139487,12090.0
Bauxite,Structural clay products,0.0014628161234316243,12323.0
Bauxite,"Non ferrous basic metals
 (including alloys)",0.004508364238539836,117126.0
Bauxite,"Miscellaneous metal
 products",0.005066394036834511,97947.0
Bauxite,Machine tools,0.001075401530708731,4191.0
Bauxite,"Medical, precision&optical
 instru.s",0.0018667090072201462,9088.0
Bauxite,Jems & jewelry,0.0023374313309904595,42374.0
Bauxite,"Miscellaneous
 manufacturing",0.0016542311205975208,15071.0
Copper ore,"Iron and steel casting &
 forging",0.0020253473460642157,39273.0
Copper ore,Iron and steel foundries,0.007347604145984432,224851.0
Copper ore,"Non ferrous basic metals
 (including alloys)",0.03897826269122085,1012644.0
Copper ore,"Miscellaneous metal
 products",0.04323527745887341,835854.0
Copper ore,Machine tools,0.005614617249686886,21881.0
Copper ore,"Other non-electrical
 machinery",0.0031963645285566205,74075.0
Copper ore,Batteries,0.0014827481211910603,3550.0
Copper ore,"Electronic
 equipments(incl.TV)",0.0011225399259898899,4286.0
Copper ore,"Bicycles, cycle-rickshaw",0.0022845332636074744,7680.0
Copper ore,Jems & jewelry,0.020175418225289787,365749.0
